Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,2020,2021_0,2022_0,2022_0,Average_2020_24
Advertising,89,1.0096480818742957,0.46358519976523366,0.13698926560957606,0.7484233963624026,0.11363434105429032,0.8443731870801686,0.37614553347622093,0.3516378482351731,0.45861753103534303,0.68,0.73,0.83,0.90361402776565,0.7975974429691637
Aerospace/Defense,61,0.9044660699453133,0.15337917482839766,0.1274261400807439,0.8108318699007757,0.08475450218742464,0.8859173542384564,0.3361576671117952,0.3552608942317434,0.2073514729328081,1.2,1.07,1.14,0.9033574147118228,1.0398549537900559
Air Transport,34,1.3413062774665883,0.9065852449524303,0.15614019779571642,0.7971780354874862,0.11509809165213487,0.9008659920011229,0.3343296414514718,0.3073450163287685,1.926854654152033,0.67,0.96,1.0,0.7849558593753849,0.8631643702753016
Apparel,110,1.0044826650762329,0.14175138586633979,0.14185235874230337,0.9076175304669625,0.038663238977713246,0.9441202784150279,0.34046576817780205,0.31434810417005654,0.39156126561980215,0.92,1.04,1.07,1.0336800505581054,1.0015600657946266
Auto & Truck,31,1.3951896187246104,1.0538961823618769,0.09629126090639158,0.7779238327891373,0.17957990546901978,0.9482018273014909,0.37918397947529053,0.35583235151341913,0.4066686169365464,0.8,0.69,0.74,0.8604210001918171,0.8077245654986616
Auto Parts,59,1.4037710559198122,0.6197554588814483,0.17963718773568216,0.9571510745158534,0.11256499478736735,1.0785590706854262,0.34650164573277326,0.3068871242474704,0.2987341169418458,1.3,1.17,1.29,1.1829793538383109,1.2043076849047476
Bank (Money Center),112,1.2153935486343155,5.615675883136155,0.2354411572737627,0.2324758412532342,0.3625662794009818,0.36470590390914487,0.24497998179994823,0.25358376727578946,1.5390713693641629,0.32,0.28,0.42,0.3686115410275469,0.3506634889873384
Beverage (Alcoholic),55,0.5919586640772369,0.4500865844613008,0.18033450330480677,0.4421329780480268,0.023482601129503063,0.452765079822875,0.2512107719947738,0.26354588744589025,0.1084805482667742,0.45,0.47,0.52,0.5066604785684935,0.47988511167827375
Beverage (Soft),15,0.7076723102064876,0.36244153562853776,0.1969973028657391,0.5559605533949716,0.04963970366120777,0.584999768547547,0.2178996725300175,0.2372287694191972,0.2535329411718298,0.52,0.65,0.68,0.7148642327405521,0.6299728002576199
Broadcasting,22,0.9282631338706471,0.4458910392859441,0.18398284760432776,0.694957877316634,0.10418902761925583,0.7757862972694847,0.2825688503709387,0.22521575023850673,0.14474657969099533,1.03,0.75,0.82,0.8005285058203548,0.8352629606179679
Brokerage & Investment Banking,74,0.8707315899058546,0.6876389626893673,0.1518944442193559,0.573709019867202,0.24127415266596042,0.7561479839958829,0.3177625193382241,0.2926244614542751,0.8202608076286918,0.95,0.73,0.9,0.6959319603512203,0.8064159888694207
Building Materials,89,1.0705705789689228,0.20528766160923842,0.1465083734825644,0.927253306143221,0.038480139655588656,0.9643620942068567,0.3289599722011865,0.29813524747340214,0.20345942702208578,0.87,0.83,0.94,1.0371856315464538,0.9283095451506622
Business & Consumer Services,194,1.0050331723966925,0.27035026580509286,0.1637828014742404,0.8350595450651856,0.046347617814956936,0.8756435370631244,0.31991796040989173,0.3073997215741856,0.18358584247826054,0.87,0.85,0.97,0.9120782185944735,0.8955443511315195
Cable TV,3,0.7774445678585296,1.9682831866821264,0.1606135297900496,0.31324315007589,0.11543289523222097,0.35412027915974126,0.45820935181966443,0.2834466515528024,0.17407735415313638,0.51,0.54,0.41,0.333771033882859,0.42957826260852006
Chemical (Basic),61,0.835071442424022,0.405682446200058,0.0859266057480463,0.6396866352336634,0.07413974620644126,0.6909105695083612,0.3837407270153203,0.33332641349454933,0.45412488789634126,0.7,0.75,0.87,0.9008276745282723,0.7823476488073268
Chemical (Diversified),7,1.108693626848418,0.5199702094747497,0.08133610106766297,0.7967697618882902,0.05882481585826926,0.8465690291386873,0.27607450868970407,0.23183480831657868,0.207061932320952,1.44,1.08,1.03,0.783591228675912,1.03603205156292
Chemical (Specialty),102,1.0757967976752074,0.18271100457538433,0.1068757698659088,0.9457029532371244,0.03525206423128651,0.9802591103587964,0.4022253045447923,0.34065716956257086,0.2838958864892885,1.07,0.89,0.91,1.0252780342177283,0.9751074289153049
Coal & Related Energy,16,0.8709744575347654,0.14811566348638902,0.06877281114799318,0.7835912715138172,0.27381582899919166,1.079053087089315,0.549649319221708,0.5049861065875753,0.6872413582066719,1.1,1.19,1.95,1.4007450881176893,1.3439596350414007
Computer Services,226,0.953311323218832,0.10294257329037113,0.16295368114727554,0.8847392013993999,0.05768475871464918,0.9388993859343554,0.33568764655358213,0.2952980540135006,0.29970541433219744,0.99,0.91,0.97,0.9974962569770381,0.9612791285822787
Computers/Peripherals,43,1.0944260005641828,0.20592156673472636,0.07752616501038113,0.9475235197544558,0.07106043419665131,1.0200055575574885,0.41431901663549436,0.363013116850949,0.27951538834167494,1.38,0.93,0.99,1.017063224016954,1.0674137563148884
Construction Supplies,123,1.0210763622322212,0.4916858283355072,0.1382373708852298,0.7452077218222276,0.08270619420473288,0.8123980747653192,0.34710107993463235,0.29989118587622066,0.376907019300104,0.94,0.92,0.95,0.9215737984479324,0.9087943746426502
Diversified,70,1.1696175679430305,0.4055014933733216,0.13961928619976716,0.8960512596410375,0.08281143760132866,0.9769542451528673,0.3139154342111612,0.2648014093316818,0.35276538725176626,1,0.82,0.97,1.0170289011045945,0.9567966292514922
Drugs (Pharmaceutical),131,0.9773064912579792,0.1511285845072486,0.07877450170905369,0.8774644519395195,0.026680970921352628,0.9015178227534864,0.45679025006424573,0.41840255220858935,0.15801150175845452,1.02,0.83,0.88,0.9285517809688922,0.9120139207444756
Education,21,0.6216698058748149,0.29005772194089957,0.06822014878385947,0.5102410830666271,0.04896325028917651,0.5365103748322799,0.33886517484913875,0.27822540168105064,0.22413230981936805,0.58,0.61,0.6,0.6374214551776206,0.5927863660019801
Electrical Equipment,157,1.2935071256797255,0.15786596459932098,0.09733731705455374,1.1560966204661356,0.051760011490873614,1.2192025589258395,0.450290321061616,0.38250447730424403,0.10929320664192288,1.19,1.16,1.24,1.259264855363673,1.2136934828579027
Electronics (Consumer & Office),21,1.017704497157091,0.12963054122893664,0.10197209286939604,0.9272098923362959,0.05468561671184691,0.9808481799579912,0.4558574003813969,0.3996397073789636,0.29394917755547906,1.38,1.23,1.27,1.0800643820744182,1.1881825124064818
Electronics (General),151,1.2131330452408937,0.13376914731163964,0.12354535547162446,1.1021320465101696,0.04058462950304163,1.148753793614216,0.3968871510330226,0.3614719796822816,0.19434389305369448,1.2,0.95,1.01,1.1394180405083687,1.089634366824517
Engineering/Construction,162,0.967454906374663,0.6356157619271188,0.15524469362514215,0.6543245508354868,0.14785000185230912,0.7678513785809833,0.33074895570240903,0.28933029381582115,0.17110219976104366,0.81,0.74,0.84,0.7693513608849124,0.7854405478931792
Entertainment,200,0.8916058261872385,0.18789420884032923,0.06685697988005812,0.7811062071171843,0.07850294185529873,0.8476491598245866,0.42428556216409824,0.39460048520599533,0.4394733238605635,1.04,0.86,0.93,0.8963245931845649,0.9147947506018304
Environmental & Waste Services,52,1.1149113651414317,0.5091659995747095,0.1444509802821072,0.8059496829041896,0.09416606792617882,0.8897322725138415,0.3696861115051722,0.35073311275951996,0.49398722113886123,0.8,0.82,0.94,1.0393064645303247,0.8978077474088332
Farming/Agriculture,50,0.7966833426376715,0.8884694690492896,0.13566818150408974,0.4773621306782378,0.06881184993598,0.5126376776223137,0.3262674208394331,0.3033979404755029,0.280045683907314,0.45,0.43,0.55,0.5922657789429788,0.5069806913130586
Financial Svcs. (Non-bank & Insurance),143,1.0216367356825768,4.109932277910462,0.13338034943382607,0.2495224495401071,0.28519402496548096,0.34907717374362646,0.36447148464986917,0.35551361693245503,0.47246006619834474,0.26,0.27,0.33,0.2491729799474152,0.29165003073820833
Food Processing,169,0.5989668816915108,0.2554558276463178,0.14605911697751275,0.5023487868707731,0.028569826272806464,0.5171228982350383,0.3234466790549657,0.257961069691383,0.09701959914494443,0.63,0.6,0.64,0.6759184649699519,0.6126082726409982
Food Wholesalers,14,0.7641625589897412,1.6657846635973659,0.18696210183783005,0.3389996341744689,0.07235907805797073,0.3654427334498875,0.3203909073700963,0.28873718799518366,0.2318682379182803,0.17,0.18,0.24,0.21929594189928503,0.2349477350698345
Furn/Home Furnishings,52,0.9014067420188674,0.6727006060272679,0.14498121846848683,0.5983544183400221,0.1353341045922793,0.6920064981374995,0.32345823488658454,0.3017099495022962,0.21202191893796704,0.93,0.96,0.95,0.8205358710080523,0.8705084738291102
Green & Renewable Energy,66,0.8309953370697505,0.7365182220379795,0.0909004452601063,0.5345655858017391,0.07297473616327944,0.5766461893274718,0.3775540712458007,0.3326083306201734,0.6646444896835285,0.6,0.72,0.68,0.682133882268362,0.6517560143191667
Healthcare Products,182,1.1934810943942749,0.19248965812476307,0.07493113162361455,1.0424094251859646,0.02122992022766002,1.0650197086413051,0.4819302195143968,0.45248663574391795,0.2170181071504657,1.14,0.89,0.89,1.0564128005709996,1.008286501842461
Healthcare Support Services,45,0.8558791331118023,0.6979485139231912,0.13951494494110495,0.5610536245311691,0.04732851831806356,0.5889266502872869,0.37506404594512144,0.3130891025672597,0.14192615822055019,0.63,0.52,0.56,0.5378938875665377,0.5673641075707649
Heathcare Information and Technology,95,1.1684975665107238,0.14210031430976455,0.08056030517272335,1.0555654417954266,0.03543095798202803,1.0943389180178138,0.3973721054716646,0.3686474797787808,0.45735846426913696,1.03,0.82,0.85,1.1429011757965009,0.9874480187628629
Homebuilding,43,1.1386417797685302,0.1902712601148246,0.1498686452512192,0.9959646351542185,0.1290679641948767,1.1435618328512973,0.355337895598362,0.2943040238943442,0.22790465023389195,1.08,1.12,1.32,1.2130427998566085,1.1753209265415812
Hospitals/Healthcare Facilities,29,0.562289577254435,2.564187507435849,0.15839946050645295,0.19186993569873212,0.04247253277071522,0.20038060762259877,0.38027515351228336,0.28128884047543545,0.1707302912234851,0.37,0.35,0.37,0.24649235904482145,0.30737459333348405
Hotel/Gaming,106,1.195646747312114,0.35170591858555167,0.09997261419443768,0.9453252116100307,0.07433295034166117,1.021236752414324,0.3609499466760512,0.35113806119976015,0.8118589643587443,0.69,0.93,1.1,1.0156726914212217,0.951381888767109
Household Products,70,0.948166274973218,0.14579180414527268,0.11830247115713513,0.8543834647907986,0.025082510167932313,0.8763648962108256,0.35770062531344227,0.35397113083748566,0.16075705406629803,0.78,0.73,0.79,0.7903389955487747,0.7933407783519201
Information Services,6,2.5196619753187326,0.5846835730045085,0.06613745569054391,1.749512234861331,0.0744013020227854,1.8901412012405387,0.4844543092076461,0.38570116251229974,0.1904084339265558,1.02,1.04,1.06,1.1607183037793078,1.2341719010039693
Insurance (General),36,0.9330697875573968,0.3988330394620762,0.15889835536105867,0.7175906621831415,0.17164938210968203,0.866288557870259,0.17745535867038198,0.20595789341238463,0.1161365129919219,0.79,0.92,0.96,0.8392499077373967,0.8751076931215312
Insurance (Life),16,1.1359621152622124,1.7113534255049134,0.14257900115046152,0.4963832373347761,0.18649286987647867,0.6101768736303592,0.21871703958493213,0.19983865488258035,0.19653822568327106,0.8,0.85,0.69,0.5916879175332567,0.7083729582327232
Insurance (Prop/Cas.),19,0.6904225287583589,0.1938049269266959,0.13374846750805483,0.6025072446381282,0.04750171111748196,0.63255467402991,0.2920144219135072,0.230777965767056,0.22214671549866044,0.68,0.66,0.76,0.7897969072640388,0.7044703162587899
Investments & Asset Management,350,0.8868556346401744,0.27130625926332363,0.070415280569103,0.7364280642652575,0.22222263655321528,0.9468365870172869,0.3217644180696851,0.3009338170976733,0.37682158434361873,0.91,0.83,0.91,1.155285355342713,0.950424388472
Machinery,219,1.1746048028969782,0.12676073423111245,0.14738852291402182,1.0722693888310841,0.05386974548730964,1.133321108501453,0.305946457806739,0.3078675639510783,0.105303376014137,1.23,1.01,1.09,1.1959330694665142,1.1318508355935935
Metals & Mining,120,1.0517443227154515,0.27178816585477233,0.07715381813375125,0.8730854495417671,0.06578768325012078,0.9345685492343194,0.45722990628425886,0.4300668714815268,0.5753605711008262,1.05,0.98,1.16,1.1402385105334458,1.052961411953553
Office Equipment & Services,22,0.7080102405230326,0.22555336936486706,0.22933357548858968,0.6052305192143335,0.08551755647363586,0.6618284730327739,0.2905364109632541,0.25828228476517473,0.13149525976240412,0.92,0.9,0.96,0.7308572038575613,0.8345371353780671
Oil/Gas (Integrated),12,0.7825685387030443,0.44005682273750313,0.3656332211074234,0.5878145410237617,0.1429385130988085,0.685848740151743,0.22714694929830323,0.23548032311746692,0.9431769112792096,0.97,0.89,1.03,0.8347292886105938,0.8821156057524673
Oil/Gas (Production and Exploration),91,0.84204926960124,0.6661206941154365,0.10793852127153462,0.5607970564865717,0.1199135940322725,0.6372068159261354,0.4906637427725911,0.5094400184735435,1.5594245293021163,0.91,0.76,1.11,0.7114392831643487,0.8257292198180968
Oil/Gas Distribution,29,0.7648727873043717,0.5831016652859234,0.11695880092480608,0.5315244070931974,0.07135376722718012,0.5723647911714808,0.3287771637288694,0.3580960715779847,0.5964497542646984,0.74,0.55,0.51,0.586312049480911,0.5917353681304783
Oilfield Svcs/Equip.,67,1.1191956476665332,0.3536391048838405,0.13369690334216425,0.8838628490336403,0.1319372676007286,1.018201583877122,0.34263210160705576,0.3908334726123707,0.5957629632873102,1.24,1.05,1.16,1.0547254159691497,1.1045853999692543
Packaging & Container,44,0.7944151852256297,0.459633644615432,0.1260432671704044,0.590178940496442,0.047580428320941975,0.6196627600333667,0.2936149089244806,0.27277399788128837,0.2859663822001427,0.82,0.68,0.75,0.694473971926442,0.7128273463919618
Paper/Forest Products,38,0.7315168538223734,0.2665712789107274,0.16416974609436566,0.6092412178550465,0.0698763727312115,0.6550110114329856,0.26445200057829243,0.2578316171342679,0.2960005167820724,0.91,0.74,0.77,0.8111009695736112,0.7772223962013194
Power,73,0.7787386090277282,0.6464799973516304,0.15380180860405573,0.5237912062477283,0.0713269954847585,0.5640211395195475,0.31896673156693617,0.3112565548105587,0.1317503612287452,0.57,0.58,0.59,0.5366516749209878,0.568134562888107
Precious Metals,46,1.134958303654692,0.18237864893410582,0.10177416289447845,0.9979296980107223,0.09821385813578429,1.1066145859679701,0.4454967912366947,0.42341743715023983,0.6598465048209302,0.99,0.87,1.05,1.1005716661082103,1.023437250415236
Publishing & Newspapers,72,0.8092495145244608,0.561674127768035,0.13033792698490154,0.568738743382451,0.05122973326868892,0.5994483209743293,0.3340621266864785,0.3001102247080988,0.26654202870413474,0.62,0.73,0.79,0.6318236910831166,0.6742544024114892
R.E.I.T.,142,0.7302032578858494,0.8157912824836093,0.012029231634608686,0.4523597265400744,0.029743397849992085,0.46622689867575534,0.26566339592833244,0.22896465668887026,0.14719462435291394,0.37,0.52,0.54,0.42587723144357803,0.4644208260238667
Real Estate (Development),66,0.7963976061277989,0.7842264792793601,0.10939555801582926,0.5007391319135789,0.12125979161903637,0.5698375095822308,0.3328317896909764,0.3197900321490795,0.493829541790414,0.54,0.56,0.57,0.5883162692025512,0.5656307557569564
Real Estate (General/Diversified),48,0.9378737734323472,1.7469460513485613,0.09546207118571931,0.4050808206985297,0.052464910865221905,0.42751009998840334,0.2974822048309806,0.29126749591863227,0.3293678183846694,0.44,0.48,0.49,0.4084625964648788,0.44919453929065645
Real Estate (Operations & Services),237,0.8300464259458876,1.2078575796014879,0.09849469005324057,0.43471675768474116,0.0361865204033334,0.4510382629911546,0.2784129042623471,0.2551969071240996,0.23974808798527003,0.32,0.36,0.41,0.3960985816126213,0.38742736892075513
Recreation,60,1.0035503434252013,0.2948357752966824,0.1490026464000997,0.821248154493923,0.06674124492946719,0.8799790519316967,0.31033612633617264,0.30059864085448196,0.5753807302772111,0.67,0.82,0.98,0.8879422933554293,0.8475842690574252
Reinsurance,4,1.095957800932122,0.20372394498288837,0.23639180216766836,0.9502108844187042,0.09559641204943922,1.0506491759635164,0.17453001228393716,0.18211184494801436,0.3756840372340061,0.94,1.42,1.45,1.041956862068099,1.1805212076063232
Restaurant/Dining,43,1.2535672909065732,0.38095783113490567,0.0930843836323323,0.9741566196353668,0.07598166490836519,1.0542611359965708,0.35723055227558803,0.33406471848208386,0.8967406417891923,0.66,0.99,1.19,0.9552393012029151,0.9699000874398973
Retail (Automotive),28,1.2408503375379711,0.5805455783144835,0.13157490928601703,0.8634448429288891,0.1313792244026668,0.9940412055365765,0.3648631417834113,0.3753704510658482,0.31972526578335114,0.43,0.79,1.06,0.9195628745210699,0.8387208160115293
Retail (Building Supply),29,1.2555264223300098,0.686259583569988,0.19717956850228402,0.8278096997007423,0.0747206572259575,0.8946592249848782,0.29968944874896747,0.28071281493731903,0.26689271134225573,0.54,0.82,0.87,0.8577110654886608,0.7964740580947078
Retail (Distributors),116,0.9874117005822514,0.5186306711791603,0.1658335675207312,0.7101244232183401,0.038012690598162376,0.7381848141633952,0.2835668719996088,0.2734625824175198,0.3140875958388568,0.61,0.7,0.79,0.7608985854799213,0.7198166799286634
Retail (General),32,1.083615303031824,0.39428371792901373,0.09569396444322185,0.8355708934031418,0.04942224077218308,0.8790137211730068,0.3463368579423163,0.35902674130694007,0.14132237969843478,0.38,0.35,0.4,0.3928101935354418,0.48036478294168966
Retail (Grocery and Food),32,1.073982711190173,0.6275117003099768,0.16556934842536192,0.7293830793552418,0.07736841408114303,0.7905464006295023,0.3772129890757503,0.2973656097119066,0.24824258907598656,0.44,0.39,0.42,0.5531785871425986,0.5187449975544202
Retail (REITs),33,0.960746998690458,1.4416481088663338,0.042197142709291834,0.4606978185423953,0.07067800757541952,0.49573540957579715,0.18602968622320687,0.21209722687273572,0.2453273616689489,1.23,1.12,1.25,1.4672850705706748,1.1126040960292944
Retail (Special Lines),111,1.5260199648902262,0.21253745908618843,0.10549003076138613,1.3155123916368283,0.077397397860033,1.4258711048348565,0.411220525249342,0.3770029801448185,0.2420916593481763,0.9,1.06,1.24,1.1652952867668969,1.1582332783203506
Rubber& Tires,8,1.0967762951201412,0.43766305872451855,0.1492611595385358,0.8249437153787101,0.09229037452350684,0.9088189573242259,0.27712320228610793,0.27450562055262784,0.18740954590239534,0.93,0.87,0.9,0.8832579325121419,0.8984153779672737
Semiconductor,40,1.4028368020266158,0.13935199682060626,0.04565675525877243,1.2696296482585585,0.05565514952265601,1.3444555213244302,0.5193719674416071,0.4451812160577769,0.8815992248366078,1.81,1.16,1.27,1.4469208038395083,1.4062752650327879
Semiconductor Equip,22,1.7327199822089587,0.022837685543648907,0.11851777704671926,1.703430360047719,0.022697391191157365,1.7429917250746894,0.40098289280839144,0.34686166765591364,0.6710886066796216,2.08,1.37,1.5,1.8277145326771278,1.7041412515503633
Shipbuilding & Marine,62,0.9209586428220383,0.37316888449211544,0.08624458968434004,0.7189603636125663,0.13866640870444452,0.8347060545161814,0.34334593150438936,0.3401879928153725,1.2809848520050198,0.9,0.83,0.93,0.9748601338267289,0.8939132376685821
Shoe,10,1.265248696016497,0.2526706168015904,0.13388795632262263,1.06302364158699,0.03920860965031581,1.1064042124691584,0.29758930344435175,0.31283775149323445,0.650947192642751,1.67,1.01,1.11,0.9688359022843687,1.1730480229507054
Software (Entertainment),56,1.2950431993104936,0.08713790368131366,0.07873061919551558,1.2153113290817847,0.01767189641110423,1.2371745495641366,0.448602828521969,0.43415402335725556,0.18237332439975504,1.28,1.05,1.01,1.2643925029484495,1.1683134105025172
Software (Internet),28,1.2218335144293462,0.30995357055358497,0.08375136200617288,0.9906511553475492,0.02084018438310691,1.0117359184347412,0.4110628484952367,0.4100785743981639,0.8936617948047033,0.95,0.7,0.85,1.0384541483190144,0.9100380133507511
Software (System & Application),339,1.0812033487059913,0.07451658156276969,0.07885390997249406,1.0237664335296466,0.053279629553950374,1.0813820696044563,0.42177441572542984,0.3915535104218756,0.10960675555101208,1.11,0.86,0.98,1.1213890742291763,1.0305542287667264
Steel,59,1.0390117122502491,0.4510199470048761,0.12835856670190565,0.7756290816359342,0.22647164883567003,1.0027157769569044,0.34900266638268096,0.3434296413653913,0.9535702265083242,1,1.04,1.12,1.079716890597993,1.0484865335109794
Telecom (Wireless),12,0.7434425442405793,1.7893986630979508,0.19421470338822303,0.31673075502624565,0.0781100265261665,0.3435667640822168,0.28670137747190433,0.26470063790883314,0.4506374152879973,0.47,0.43,0.48,0.3031537052354213,0.40534409386352765
Telecom. Equipment,54,0.9327599212168725,0.2372302253360233,0.0801537296343256,0.7914063323437647,0.1392869351395183,0.9194775409526851,0.4294406966494345,0.33319520112261086,0.4677411943986492,1.3,0.98,1.06,0.9611502591339679,1.0441255600173307
Telecom. Services,64,0.8493025485157498,1.1200132531840978,0.12245939952883556,0.4607616288680146,0.04114331708245967,0.4805323225844786,0.3089070710669372,0.26207860927865606,0.11011497876628254,0.42,0.37,0.39,0.44422768381409694,0.4209520012797151
Tobacco,6,0.5521081872089911,0.7458540799644314,0.17671211228109826,0.35356340605429915,0.04423815024314514,0.36992835207248065,0.21219736062487335,0.18281710440540047,0.23833071044815288,0.4,0.33,0.37,0.29390936570842574,0.35276754355618134
Transportation,59,0.9435413095451561,0.6692000167903008,0.15447321046423965,0.6274210520848955,0.08662504997037179,0.6869260560129694,0.3230337751826215,0.30362009528384304,0.30062381017195944,0.62,0.61,0.73,0.8506110440693417,0.6995074200164623
Transportation (Railroads),7,0.9103890615944515,0.8224949413558744,0.16260038342080962,0.5622266111458069,0.16586244367956407,0.674021457115433,0.2202995590442356,0.17036545746591236,0.6701724169903404,0.5,0.54,1.01,0.8104845554883959,0.7069012025207658
Trucking,6,1.0898056173084412,0.5723561575742513,0.21633647512822854,0.7616081425527387,0.047640335105016696,0.7997064246066335,0.23881431809893972,0.26775426645043926,0.3898914555775299,0.43,0.39,0.55,0.44200070610271597,0.52234142614187
Utility (General),16,0.8869794703920545,1.0954707451704866,0.1961296789313186,0.4860747637056785,0.12237761763652852,0.5538541102343585,0.19427415820782223,0.19193813872527388,0.25871527894400986,0.41,0.43,0.49,0.4690687612271853,0.47058457429230877
Utility (Water),12,0.7619072471822499,1.1021027949620241,0.09589754359406201,0.41639436491063125,0.016635435457834063,0.42343844788071633,0.20145695761896276,0.33261428375139857,0.1656416489330794,0.29,0.26,0.28,0.3466602008029708,0.3200197297367374
Total Market,6971,1.0048847843564543,0.8217073847887706,0.11569402250988077,0.6208114228559141,0.16020955149548102,0.739245634385866,0.3588359448043629,0.33261428375139857,0.23059473912718098,0.7,0.67,0.79,0.7771884061702311,0.7352868081112194
Total Market (without financials),6149,1.0163277560226116,0.3625130044987187,0.11402158700273608,0.7984122714874734,0.06547444981285024,0.8543503934457243,0.3678598807686726,0.3394865864311263,0.2520005799939234,0.85,0.78,0.87,0.8817115657835057,0.847212391845846
