Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,Beta_2020,Beta_2021,Beta_2022,Beta_2023,Average_Beta_2019_23
Advertising,18,1.1974133375606295,0.011608204872539581,0.21771419941052259,1.1877618892157615,0.021787050294671872,1.214216075930662,0.4365965522403492,0.47611391507233103,1.0570553975384862,1.96,1.16,1.415114409077933,1.415114409077933,1.4328889788173058
Aerospace/Defense,16,1.2966343159039944,0.0018034498881275812,0.2213284019114042,1.2949994892252163,0.12011982702338894,1.471790738100471,0.44873683182410007,0.36152889655525366,1.1555444586801127,1.3,1.53,1.6200288729066357,1.6200288729066357,1.5083696967827485
Air Transport,5,1.2023820188607475,0.5338387183040381,0.05162846306390795,0.8752954121784308,0.06708459164030438,0.9382366336058533,0.3919446718232616,0.2951642704047186,6.6407707128345415,0.33,1.27,1.0149692637733074,1.0149692637733074,0.9136350322304937
Apparel,344,0.7328179807521311,0.15205168211474615,0.14426417471486558,0.6623228665759747,0.014564470048695728,0.672111819033665,0.36958702818877576,0.3828828471348564,0.44347721364806764,0.5,0.7,0.781906964514595,0.781906964514595,0.6871851496125709
Auto & Truck,12,1.3457573733464028,0.19805531658915532,0.2137366017039548,1.1819002356082677,0.03689736371045221,1.227179940199998,0.3549660102223137,0.27586541616757027,0.2224404400277122,1.02,1.57,1.3295156994854185,1.3295156994854185,1.295242267834167
Auto Parts,109,1.1224973096102853,0.1234767382670403,0.21128749362807775,1.0331944712927479,0.026748217292710635,1.0615901143470976,0.35514535432011746,0.31720224855754675,0.4598735830554081,0.73,1.38,1.230776754613691,1.230776754613691,1.1266287247148958
Beverage (Alcoholic),19,0.6006155861857082,0.016137192875244892,0.14476234400297125,0.5939067942436683,0.009414010646436856,0.599550973491196,0.377992198221107,0.2958209822106093,0.9255525153147528,0.26,0.9,0.7841379406278306,0.7841379406278306,0.6655653709493714
Beverage (Soft),5,0.4593820280818523,0.02357067486422073,0.0882827277027073,0.45192549583423985,2.7366573392680798e-05,0.45193786382495915,0.5196744727819517,0.5365698410910166,0.7299532643136114,0.2,0.54,0.6057115577373972,0.6057115577373972,0.4806721958599507
Broadcasting,19,0.8486814729098937,0.0884235255241921,0.14689821998346622,0.799213010487423,0.12146802363779415,0.9097141959439837,0.36968925463735175,0.4004638144758087,0.48342216344963385,0.02,0.74,1.0569635904976402,1.0569635904976402,0.7567282753878528
Brokerage & Investment Banking,170,0.5462839120404231,0.6267122487942131,0.1362207168406473,0.3797069948171146,0.23965821086467556,0.4993898799761155,0.3975604659291432,0.41233670226885366,0.9403693707392847,0.35,0.42,0.528032135995811,0.528032135995811,0.46509083039354754
Building Materials,51,0.8755433893241724,0.06091702071360058,0.15865400358855386,0.8397354615697018,0.01712709889650352,0.8543683121458628,0.3506208016826919,0.3708508945521493,0.5609267790414119,0.68,1.04,1.1784032928365842,1.1784032928365842,0.9862349795638062
Business & Consumer Services,65,0.5557597703132835,0.028538826834831426,0.1506994795798062,0.5448747108005327,0.03715045138918009,0.5658980799094386,0.40567898717641077,0.40838233767444265,0.8745182571736401,0.54,0.64,0.6797117739924685,0.6797117739924685,0.6210643255788751
Cable TV,8,0.9903181667049161,0.09446867384966673,0.13238339196477242,0.9288923094677174,0.0949870973567403,1.0263857087061559,0.3091106577984288,0.32980523042202203,0.6013880767696508,0.61,1.13,1.1618259794265093,1.1618259794265093,1.0180075335118348
Chemical (Basic),138,0.8978960804003071,0.09628361124993061,0.20723748291861144,0.8412004110478762,0.018605048846444275,0.8571476856072152,0.3362546918745607,0.33796101582665705,0.4995748776205842,0.59,1.04,1.0529015054856072,1.0529015054856072,0.9185901393156859
Chemical (Diversified),9,0.8787258858218959,0.030695803435529464,0.2702533327754337,0.8602418162332136,0.01128154234371944,0.8700574056970516,0.21477732362980395,0.22150950133064853,0.5536746447772933,0.44,1.08,1.0145342878319115,1.0145342878319115,0.8838251962721749
Chemical (Specialty),178,0.7601902739772037,0.08104051494493744,0.22000268262587394,0.719380970948145,0.03167041348349257,0.7429092129014293,0.3105476130602079,0.326397800285098,0.6100705477280168,0.69,1.15,0.9064973703659718,0.9064973703659718,0.8791807907266745
Coal & Related Energy,4,0.6200328188050137,0.025422603052629642,0.21233009946862205,0.6091917507612361,0.14746981124632647,0.7145691247037509,0.4370431933215824,0.3396011708693104,0.31503278485609437,1.08,1.84,1.7203504311861701,1.7203504311861701,1.4150539974152183
Computer Services,156,0.7550152375143054,0.019633996312135218,0.16565779658249472,0.7447791438398507,0.016841856649642998,0.7575374815101766,0.4080045403811364,0.4041511072893946,0.2093752462208305,0.58,0.77,0.827526364767054,0.827526364767054,0.7525180422088569
Construction Supplies,97,0.9469955546369726,0.1995506141455628,0.18214755171455183,0.830927139884987,0.018579893187843113,0.8466579542414305,0.38215198746475054,0.3246916921336131,0.5383453366218511,0.8,1.04,1.0271036631421626,1.0271036631421626,0.9481730561051511
Diversified,15,1.08987479643481,0.12896783679984236,0.1305797045482185,0.9996306542780721,0.03605719499638115,1.0370227871292834,0.3666907276683975,0.30629082692160886,0.47492452982767897,0.7,1.32,0.9360548898782636,0.9360548898782636,0.9858265133771621
Drugs (Biotechnology),8,0.7303843556163842,0.5550369395359425,0.15033950763807988,0.5260142269437338,0.04166264257035142,0.5488821059366336,0.40450418298574387,0.3428267327992044,0.31391933466032035,0.63,0.82,0.9909671777531004,0.9909671777531004,0.7961632922885669
Drugs (Pharmaceutical),167,0.9618567533257633,0.0403919004472963,0.19808604306906963,0.9354086987981892,0.02689855414798352,0.9612653467791071,0.34393047124024734,0.3203901749936524,0.20132133994962564,0.64,1.13,1.0386192332712016,1.0386192332712016,0.9617007626643022
Education,29,0.5960867065563075,0.0885098227564631,0.1257315195010897,0.5613097104668742,0.03758744307677215,0.5832319065550702,0.4288778127980354,0.47783334941258965,0.962160131221305,0.73,0.65,0.7643517078529724,0.7643517078529724,0.6983870644522029
Electrical Equipment,111,0.947567655845507,0.041250657287863826,0.17458770167280493,0.9209741048270543,0.01816696976736902,0.9380149948803851,0.48685016222837973,0.3892496410800857,0.6606077391292804,0.87,1.12,1.0638157017096912,1.0638157017096912,1.0111292796599536
Electronics (Consumer & Office),7,1.1073477494916755,0.024123947972456008,0.20226449844017605,1.0889587603563842,0.00399167218737942,1.093322947156372,0.47303210106117827,0.4402954391266252,0.9841125774786916,1.83,1.59,1.0663693417321418,1.0663693417321418,1.329212326124131
Electronics (General),35,0.5093497079903779,0.025695495383810375,0.1815780483342038,0.5003499894003299,0.05067474549115621,0.5270585471353525,0.4656967722697725,0.40893537964902793,0.41590246930762054,0.51,0.64,0.49501786601221176,0.49501786601221176,0.5334188558319554
Engineering/Construction,155,1.0762860858195458,0.2986243555093373,0.16209368223330398,0.8902010793113897,0.044220310150720595,0.9313873152627558,0.43474913964449624,0.3988456872430766,0.41604424404556006,0.69,0.75,0.9622193966612387,0.9622193966612387,0.8591652217170467
Entertainment,65,0.6423947178886079,0.3165226780120616,0.10921846270478834,0.5258780809463257,0.03151829011463575,0.5429922688045106,0.4084900761702853,0.4278493631094938,0.6499576824839727,0.26,0.47,0.5812605127915772,0.5812605127915772,0.48710265887753296
Environmental & Waste Services,14,0.9313133898177656,0.049686070914554986,0.21383532770911598,0.900010789867317,0.06932136910901213,0.9670478723742577,0.47711477950781395,0.44237146128615795,1.6743457864170326,0.58,0.96,1.2302385001401122,1.2302385001401122,0.9935049745308964
Farming/Agriculture,59,0.6072712832591157,0.09570021456047122,0.15331785817012916,0.5691442260733638,0.014953534092260367,0.5777841409226175,0.38548641941139333,0.3822610803777417,0.4025210828393433,0.6,0.73,0.5561908884258441,0.5561908884258441,0.6040331835548611
Financial Svcs. (Non-bank & Insurance),274,0.6963413563240893,1.5597054170620872,0.1492770357169575,0.3328919700431498,0.029161235872873885,0.3428910982375642,0.40848460648185053,0.40644588561517303,0.48199464905940226,0.26,0.3,0.3509273852781061,0.3509273852781061,0.32094917375875526
Food Processing,192,0.86063816113717,0.06286306027798728,0.15841575778309738,0.824362783971365,0.01838924364620227,0.8398061845139801,0.3495756220879442,0.35768190930771093,0.44920498453777086,0.75,0.97,0.8745550703328744,0.8745550703328744,0.8617832650359458
Food Wholesalers,34,0.7258204291245565,0.14984666467967417,0.15930457318863353,0.6569148768341201,0.05082482397043926,0.6920902415316237,0.38252828054392823,0.46221720928121984,0.4866472521166178,0.46,0.43,0.5227562067588764,0.5227562067588764,0.5255205310098753
Furn/Home Furnishings,43,0.4614807376908351,0.044829170934176994,0.24298686124391317,0.44743988628917675,0.02985390323681905,0.46120876822782264,0.2966615273368796,0.299403845306232,0.43495701110602364,0.66,0.9,0.7106322943648732,0.7106322943648732,0.6884946713915139
Green & Renewable Energy,16,0.8829617041693082,0.2701808648677282,0.11930726027413026,0.7425296012671371,0.015497669127905579,0.7542182257805196,0.5870425960151304,0.45501115754715177,1.1349821333537717,0.6,0.75,1.2041628697104168,1.2041628697104168,0.9025087930402705
Healthcare Products,11,0.7992013264764143,0.013478017783607688,0.22721979601485032,0.7917316452403383,0.014393083851091469,0.8032935161756932,0.42490155187472406,0.4420211152482545,1.2271306390258039,0.75,0.49,0.7561925461489477,0.7561925461489477,0.7111357216947178
Healthcare Support Services,37,0.39031480418354586,0.028876805971310027,0.16748538097381577,0.38258139410351355,0.026928404181396345,0.3931688025295447,0.38095911095746343,0.4064745149788983,0.8588945096086371,0.63,0.8,0.5414724029001589,0.5414724029001589,0.5812227216659724
Heathcare Information and Technology,14,1.2169487686463463,0.029569626962556158,0.1520300587480424,1.192270277505284,0.035254494332427534,1.235839162246495,0.34101576706039366,0.3288518074254409,0.8241946725256825,0.67,1.24,1.484495175598807,1.484495175598807,1.2229659026888218
Hospitals/Healthcare Facilities,32,0.9319727910845824,0.04199673231711559,0.22823490909526875,0.9053573557209028,0.019793823706977267,0.9236397174570091,0.30921827095094706,0.28475492604727076,1.3913483713040182,0.27,0.73,0.8022543999852315,0.8022543999852315,0.7056297034854945
Hotel/Gaming,60,0.7280842329366062,0.10483405005819738,0.14940781894384988,0.6783074322234164,0.035809264649443964,0.7034992220463522,0.37132434240404955,0.3498077584816093,5.693637671771335,0.5,0.81,0.9055915608678586,0.9055915608678586,0.764936468756414
Household Products,37,0.6885749168943986,0.007103416499714024,0.19019461011075678,0.6851679933540517,0.009889305679497187,0.692011506677313,0.3099280550218834,0.3268336415011811,0.5968242752204044,0.39,0.74,0.750649337948773,0.750649337948773,0.6646620365149718
Information Services,20,1.0715327925011955,0.08531148410525274,0.23380509460690185,1.0111489596233314,0.03194880663452423,1.0445201313248984,0.37894188682384256,0.370973866763597,0.4678094511583568,0.65,1.32,1.2662430714276884,1.2662430714276884,1.109401254836055
Insurance (General),2,2.0507224244760094,0.4954261618931312,0,1.522664829756771,0.027442218798151004,1.565629167940152,0.32428891823345696,0.4025623576631118,2.1999526780183456,0.31,1.33,1.1226067306894978,1.1226067306894978,1.0901685258638296
Insurance (Life),7,1.0974499365121784,0.004602519011149758,0.09753900408597824,1.0939255672581165,0.04493569857169463,1.145394677219265,0.2371407428177486,0.2052574833982197,1.0805108671279626,0.64,1.17,1.3498741645691907,1.3498741645691907,1.1310286012715294
Insurance (Prop/Cas.),2,1.393938525347544,0.004222983362898546,0.19940355445857913,1.389830064878677,0.10707636634649983,1.556493761053257,0.32142169756848654,0.24386124045564408,0.728273116606335,0.51,1.19,1.8667378864076332,1.8667378864076332,1.3979939067737048
Investments & Asset Management,102,0.5971051073841283,0.12663639098596002,0.13017004131850357,0.5484844440312844,0.024663152798501908,0.5623538632883939,0.4127551767252536,0.371141498427293,0.9394922910133496,0.39,0.55,0.574967963203818,0.574967963203818,0.530457957939206
Machinery,161,0.8106079953768068,0.04339181540665814,0.1918851708505093,0.7867121863975746,0.0230170698523422,0.8052466037238477,0.393668582582373,0.35668721722976887,0.50470923953765,0.54,1.01,1.054070244348252,1.054070244348252,0.8926774184840705
Metals & Mining,42,1.0620993717733045,0.3547514638055493,0.18330685254117438,0.8508188972983063,0.036687268104850596,0.8832218957850467,0.4217522769177308,0.3925262004245379,0.4813369264568206,0.73,0.82,1.0351938274591044,1.0351938274591044,0.9007219101406511
Office Equipment & Services,17,0.6591768913630133,0.04185999478484509,0.15985527496174542,0.6404115543357588,0.00864085256698832,0.6459934888319905,0.36761177949962315,0.406159781733717,0.7512258195982849,0.76,0.71,0.8775655848238868,0.8775655848238868,0.7742249316959529
Oil/Gas (Integrated),1,0.9937605448783849,0.5564899392650589,0.24032085429917696,0.7151707973653816,0.11362093235074937,0.8068453142311592,0.20567375886524822,0.1935286369851587,0.44115107798558784,1.18,0.99,0.9783457902145843,0.9783457902145843,0.9867073789320656
Oil/Gas (Production and Exploration),8,0.9146439570769712,0.8117062222091279,0.12025435197395146,0.5832465560420229,0.06287821521023984,0.6223807465673975,0.43665999852079257,0.36378520762892247,1.4470437309765962,0.54,0.64,0.7170735115603526,0.7170735115603526,0.6473055539376205
Oil/Gas Distribution,11,0.7386304830790849,0.1713264837927294,0.10164692168245261,0.65953358413941,0.17662787708014974,0.8010151980863349,0.36542409755780664,0.3719054250623931,0.6815775422486503,0.64,1.03,0.9110829904265221,0.9110829904265221,0.8586362357878758
Oilfield Svcs/Equip.,23,0.8843319331093127,0.27976220838045346,0.2089970410286667,0.7395108927711687,0.03444839995353467,0.7658947411361351,0.40855520594206196,0.3682890096552993,0.6376441163022505,1.13,1.22,0.9578424830835928,0.9578424830835928,1.0063159414606642
Packaging & Container,86,0.7511524165484432,0.3427010829748275,0.15685462062597802,0.6058214497139885,0.04202307348232649,0.6323967028268628,0.37810707130139015,0.38195167598473173,0.2855322595369591,0.51,0.72,0.6949749586603011,0.6949749586603011,0.650469324029493
Paper/Forest Products,49,0.5061672056773157,0.18202533035499766,0.1641268991503686,0.44896154428650675,0.023785014329794473,0.4599002790131101,0.3292871685638593,0.33622749665462703,0.6246747393876132,0.42,0.64,0.5999979732045353,0.5999979732045353,0.5439792450844362
Power,32,1.0186133519679434,0.4337546560066359,0.18284369811181447,0.7813679588300796,0.026239378533281253,0.8024230407398799,0.41391852585475314,0.3130009553928686,0.6913629344151462,0.43,0.65,0.8424999994028688,0.8424999994028688,0.7134846079091236
Publishing & Newspapers,22,0.7189565967820121,0.14154707032918296,0.1222335197586328,0.6541422531260461,0.038097988567795026,0.6800508215510164,0.38958402044705953,0.3888542826313922,0.46216773127996746,0.55,0.73,0.6574422536897178,0.6574422536897178,0.6549870657860903
R.E.I.T.,4,0.28565060504709083,0.4972560647544806,0.25214429597074334,0.21189452032366285,0.013742823147992876,0.21484712638543232,0.12218619354766286,0.10577529881527599,0.8094371153829167,0.56,1.16,0.5990284300938258,0.5990284300938258,0.6265807973146169
Real Estate (Development),150,0.75166954904066,0.1897659282394212,0.13688258405699544,0.6635289218082133,0.02513979138443671,0.6806400712062259,0.42549228342738654,0.4276323370609384,0.355629176752264,0.57,0.57,0.7544773245660898,0.7544773245660898,0.6659189440676812
Real Estate (General/Diversified),17,1.002780850647752,0.05744198575717168,0.13811164815296334,0.9640182642639017,0.020684774095355987,0.9843799409667998,0.3249872054591863,0.2903085594737977,0.3417854838440799,1.14,1.17,1.5000481450950496,1.5000481450950496,1.2588952462313796
Real Estate (Operations & Services),32,0.5596963991161537,0.1329970102895119,0.13362150408450796,0.5120276925133541,0.019709337211067778,0.5223223192360443,0.43021576131017103,0.36464228273898797,0.5768477583284076,0.25,0.52,0.6794002963594857,0.6794002963594857,0.5302245823910031
Recreation,12,0.5456475725275914,0.05913869869071997,0.08991645780833019,0.523957266874825,0.024492501308229764,0.5371124953703499,0.37121936240108844,0.42796554687516764,4.0403299808524284,0.61,0.74,0.3413824345308088,0.3413824345308088,0.5139754728863936
Reinsurance,1,1.9171435804325219,0,0.1277061010277717,1.9171435804325219,0.4336968259037885,3.385366122116792,0.44999999999999996,0.2522730228319716,1.0828291066338542,1.21,6.75,6.863386621573471,6.863386621573471,5.014427873052747
Restaurant/Dining,16,0.8642706632684619,0.055087830291476264,0.12909808643329304,0.8321805486820951,0.009451338935726701,0.8401208152540199,0.3087307989545196,0.35149329309790395,62.26397019168342,1.44,0.78,1.1300519817906334,1.1300519817906334,1.0640449557670575
Retail (Automotive),4,0.8029362267649927,0.1548214538755845,0.15679069855142624,0.7244264927784297,0.022012395329408796,0.7407317734077349,0.38510666960431467,0.3316325757613725,2.148277388386793,0.35,0.39,0.3677795372411074,0.3677795372411074,0.4432581695779899
Retail (Building Supply),4,0.6035838771272046,0.1302416672825364,0.07105190755685986,0.5531533471868343,0.011933330281888149,0.5598340315888247,0.3743746018560514,0.3602305511752161,1.2625203416723232,0.56,0.71,1.3024663349756214,1.3024663349756214,0.8869533403080135
Retail (Distributors),253,0.5106533809592126,0.16493477463782794,0.11871717586556674,0.4577985504371049,0.022333281956430848,0.468256249280139,0.42557449425265276,0.4095098192832985,0.7030432554809477,0.44,0.5,0.48648746989423053,0.48648746989423053,0.47624623781372
Retail (General),11,0.8955040221986375,0.26720712410540776,0.12873396378144786,0.754397712050532,0.00693844108118423,0.759668628067603,0.33042083939988076,0.39218955174446285,3.7115333368983614,0.68,1.34,0.512628357996795,0.512628357996795,0.7609850688122387
Retail (Grocery and Food),8,0.0919019856634679,0.0028692977106575877,0.16997271816155796,0.09171776975272322,0.003562774451386293,0.09204570784900744,0.33923447877107515,0.39589810917128354,1.3715866860407562,0.86,0.56,0.7578867012143597,0.7578867012143597,0.6055638220555453
Retail (Special Lines),43,0.7912918228457284,0.10870682506246859,0.19057280582678862,0.7353365515367661,0.009958327898992243,0.7427329295910126,0.4204790992138791,0.3926749969905448,2.0649839851022813,0.79,0.64,0.9473655699633488,0.9473655699633488,0.813492813903542
Rubber& Tires,16,0.882435532314457,0.11788015102358945,0.18782379051237227,0.8151708114590839,0.009904176807320577,0.8233251695078064,0.34213387848085486,0.29353256193213884,0.2864162721824602,0.6,1.21,1.1219221909220582,1.1219221909220582,0.9754339102703845
Semiconductor,8,1.611640106554315,0.0408116499112951,0.13614267235197766,1.566877312715955,0.0034062258080553407,1.572232692288697,0.5628222021115665,0.5010518370389238,12.74567091312641,0.73,1.16,1.9836144211648226,1.9836144211648226,1.4858923069236682
Shipbuilding & Marine,23,1.2137705364534905,0.2122839121333656,0.16733807271884005,1.0567402660093657,0.03357650574260382,1.093454652425818,0.4101208394018094,0.4009758861057829,0.35614244699908204,0.65,1.05,1.0660587710181157,1.0660587710181157,0.98511443889241
Shoe,12,0.02090926001662446,0.04292299640782315,0.17582959409719123,0.020299343949428717,0.010563114561223788,0.02051605741423998,0.34248726734299173,0.23207910655101902,0.5275650910708782,1.01,1.05,0.3906975661464086,0.3906975661464086,0.5723822379414114
Software (Entertainment),5,0.7830360024669405,0.007531726758136616,0.2752644087938206,0.7789293244818127,0.009977556029729133,0.7867794606333218,0.20251576851800634,0.1867409361734939,0.698956301092383,0.59,1.16,1.219451180957866,1.219451180957866,0.9951363645098107
Software (Internet),6,-0.005743368169490874,0.033647271319829704,0.09836094109265196,-0.005611206908591322,0.03283282158815747,-0.005801692855009124,0.512617043205324,0.504931470076568,10.948979663023989,1.04,0.52,0.4883816218840528,0.4883816218840528,0.5061923101826193
Software (System & Application),73,1.164011103524074,0.014057190040673016,0.16094247210875315,1.1526688044177154,0.042736629439639955,1.2041292290782728,0.39730050768551195,0.4048728665269909,0.32965509906547874,0.83,1.2,1.2407987165306618,1.2407987165306618,1.1431453324279193
Steel,168,1.084854582186584,0.2696412644986756,0.17255598788028068,0.9126019765314353,0.03942779278925705,0.9500607759424967,0.4120984515262199,0.3982756101395821,0.8055924864593882,0.54,0.74,0.9316469962073162,0.9316469962073162,0.818670953671426
Telecom (Wireless),3,1.4439288990342127,0.7476076555023925,0.09296194406235674,0.9478795128328242,0.01302308109511218,0.9603867067981239,0.3678764733357145,0.2821307972042973,0.7888859298266813,0.58,0.73,1.0837985966404802,1.0837985966404802,0.8875967800158169
Telecom. Equipment,21,1.119210033764422,0.10964266873976178,0.14804069381106885,1.0394336390500882,0.017857906493246527,1.058333255363055,0.39353478876341585,0.4027510512651054,1.0487064188473285,0.75,1.2,1.0824783978938453,1.0824783978938453,1.034658010230149
Telecom. Services,14,0.9416250090142464,0.5715192872776261,0.10790598898689607,0.6725587862823648,0.007059767103442978,0.6773406535460941,0.3711134324227701,0.36291736247664463,0.6491524249735235,0.21,0.96,0.7602941529099632,0.7602941529099632,0.6735857918732041
Tobacco,6,0.4425671945911314,0.001063084491233481,0.17708060948133697,0.4422380990659467,0.009066954010596782,0.44628454047002875,0.2756683125782046,0.21010525025921484,1.259057562188661,0.69,0.94,0.653471109686671,0.653471109686671,0.6766453519686741
Transportation,48,0.9530728273166269,0.23466065221824486,0.14963682219873262,0.8186065108880609,0.030964623116793124,0.8447643196691297,0.35040088997114016,0.40370110060761377,0.27067173812729733,0.41,0.77,0.9981716296242235,0.9981716296242235,0.8042215157835153
Transportation (Railroads),1,0.9405038582158329,0.01567258883248731,0.2452431289640592,0.9302977364749371,0.06342537639782596,0.9932980384380955,0.2262180974477958,0.2119792442669801,0.17844356114783258,0.68,1.52,1.5786324440624715,1.5786324440624715,1.2701125853126076
Trucking,12,0.7187386112992881,0.1962214087983029,0.19007479888222803,0.6319386823340735,0.005607398181772685,0.6355021961935216,0.4142172431097806,0.4328898998753725,0.5972618903503626,0.78,0.71,0.7443126721138946,0.7443126721138946,0.7228255080842622
Utility (Water),1,1.8233554710432027,0.07147348564242297,0.3184143222506394,1.7364770250408446,0.07942097026604068,1.8862878351059917,0.37628865979381443,0.3726692706546333,0.20954152180396843,0.81,2.37,1.7350738923857558,1.7350738923857558,1.707287123975501
Total Market,4446,0.8021784340299848,0.298208140811725,0.16381051581513606,0.6636453267053501,0.05947417749538792,0.7056109580681883,0.38639544116996305,0.3726692706546333,0.4304351256553048,0.58,0.81,0.7971380843824122,0.7971380843824122,0.7379774253666025
Total Market (without financials),3850,0.8198477825445601,0.1608082521880037,0.16701986722161594,0.7368982579173127,0.029636173370368654,0.7594040891618811,0.384976556985476,0.36996431726051343,0.4325539868550488,0.62,0.88,0.8646047974287592,0.8646047974287592,0.7977227368038798
